ticker,name,close,change,market,date
00714,群益道瓊美國地產,21.15,-0.06,TWSE,2026-09-11
00715L,期街口布蘭特正2,70.65,7.65,TWSE,2026-09-11
00717,富邦美國特別股,14.44,-0.1,TWSE,2026-09-11
00728,第一金工業30,68.65,-0.7,TWSE,2026-09-11
00730,富邦臺灣優質高息,28.2,-0.45,TWSE,2026-09-11
00731,復華富時高息低波,97.6,0.6,TWSE,2026-09-11
00733,富邦臺灣中小,66.35,-1.3,TWSE,2026-09-11
00735,國泰臺韓科技,104.25,-2.75,TWSE,2026-09-11
00736,國泰新興市場,31.46,-0.08,TWSE,2026-09-11
00737,國泰AI機器人,39.09,-0.16,TWSE,2026-09-11
00738U,期元大道瓊白銀,50.55,-3.2,TWSE,2026-09-11
00739,元大MSCI A股,27.1,-0.32,TWSE,2026-09-11
00752,中信中國50,22.24,-0.03,TWSE,2026-09-11
00753L,中信中國50正2,8.85,-0.07,TWSE,2026-09-11
00757,統一FANG+,137.2,-0.65,TWSE,2026-09-11
00762,元大全球AI,113.4,-1.95,TWSE,2026-09-11
00763U,期街口道瓊銅,34.23,-1.53,TWSE,2026-09-11
00770,國泰北美科技,67.6,-0.6,TWSE,2026-09-11
00771,元大US高息特別股,15.09,0.02,TWSE,2026-09-11
00775B,台新投等債15+,30.33,-0.07,TWSE,2026-09-11
00783,富邦中証500,26.83,-0.73,TWSE,2026-09-11
00830,國泰費城半導體,81.35,-1.7,TWSE,2026-09-11
00850,元大臺灣ESG永續,92.1,-1.15,TWSE,2026-09-11
00851,台新全球AI,70.3,-0.25,TWSE,2026-09-11
00852L,國泰美國道瓊正2,33.91,-0.46,TWSE,2026-09-11
00861,元大全球未來通訊,84.85,-1.25,TWSE,2026-09-11
00865B,國泰US短期公債,48.57,0.2,TWSE,2026-09-11
00875,國泰網路資安,52.7,0.15,TWSE,2026-09-11
00876,元大全球5G,85.6,-1.9,TWSE,2026-09-11
00878,國泰永續高股息,34.0,-0.15,TWSE,2026-09-11
00881,國泰台灣科技龍頭,49.96,-0.54,TWSE,2026-09-11
00882,中信中國高股息,14.8,-0.04,TWSE,2026-09-11
00885,富邦越南,18.45,-0.08,TWSE,2026-09-11
00891,中信關鍵半導體,35.24,-0.63,TWSE,2026-09-11
00892,富邦台灣半導體,41.41,-1.01,TWSE,2026-09-11
00893,國泰智能電動車,42.54,-0.63,TWSE,2026-09-11
00894,中信小資高價30,46.97,-0.96,TWSE,2026-09-11
00895,富邦未來車,49.65,-0.75,TWSE,2026-09-11
00896,中信綠能及電動車,27.92,-0.44,TWSE,2026-09-11
00897,富邦基因免疫生技,12.57,-0.19,TWSE,2026-09-11
00898,國泰基因免疫革命,10.52,-0.1,TWSE,2026-09-11
00899,FT潔淨能源,23.17,-0.17,TWSE,2026-09-11
00900,富邦特選高股息30,19.52,0.06,TWSE,2026-09-11
00901,永豐智能車供應鏈,45.85,-0.87,TWSE,2026-09-11
00902,中信電池及儲能,12.68,-0.31,TWSE,2026-09-11
00903,富邦元宇宙,20.93,-0.14,TWSE,2026-09-11
00904,台新臺灣半導體30,40.98,-0.89,TWSE,2026-09-11
00905,FT臺灣Smart,26.35,-0.39,TWSE,2026-09-11
00907,永豐優息存股,17.7,0.16,TWSE,2026-09-11
00908,富邦入息REITs+,14.94,-0.12,TWSE,2026-09-11
00909,國泰數位支付服務,46.59,-1.22,TWSE,2026-09-11
00910,第一金太空衛星,55.4,-1.1,TWSE,2026-09-11
